price,rating,review_count,avg_sentiment,category,discount,primary_platform,secondary_platform
20.81,5.0,0,0.568,generic,1.86,Email,WhatsApp
224.19,4.75,1226,0.366,haircare,0.0,Marketplace Ads,Instagram
1737.63,4.17,89,0.236,skincare,2.76,Google Ads,Instagram
47.91,1.06,0,-0.068,generic,0.0,Google Ads,Instagram
51.35,1.99,0,0.023,generic,0.0,Google Ads,Instagram
754.36,5.0,366,0.693,skincare,0.0,Instagram,Influencer Marketing
1227.64,5.0,479,0.357,skincare,0.0,Google Ads,Instagram
18.24,5.0,2,0.507,generic,0.0,Email,WhatsApp
257.55,5.0,7,0.475,generic,2.72,Email,WhatsApp
610.81,4.99,47,0.209,skincare,0.0,Instagram,Influencer Marketing
669.41,5.0,798,0.454,haircare,0.0,Marketplace Ads,Instagram
548.59,4.83,1145,0.456,haircare,3.62,Marketplace Ads,Instagram
37.26,3.94,12,-0.054,generic,0.0,Google Ads,Instagram
58.31,0.98,0,-0.006,generic,0.0,Google Ads,Instagram
421.5,4.86,605,0.754,skincare,0.77,Instagram,Influencer Marketing
37.73,5.0,0,0.481,generic,0.0,Email,WhatsApp
300.3,3.99,534,-0.013,generic,2.29,Marketplace Ads,Google Ads
22.84,1.01,3,-0.023,generic,1.66,Google Ads,Instagram
330.65,4.76,3,0.674,generic,2.35,Email,WhatsApp
1124.87,4.67,189,0.945,generic,0.0,Instagram,Influencer Marketing
457.27,5.0,6,0.591,generic,0.0,Email,WhatsApp
532.19,4.63,3147,0.493,generic,3.13,Marketplace Ads,Instagram
18.08,0.91,0,0.654,books,2.18,Email,WhatsApp
74.32,5.0,0,0.625,generic,2.04,Email,WhatsApp
333.79,5.0,7,0.484,generic,0.0,Email,WhatsApp
807.19,4.82,22,0.408,haircare,0.0,Google Ads,Email
467.07,4.67,298,0.434,generic,0.0,Instagram,Influencer Marketing
540.14,4.46,558,-0.01,skincare,3.84,Instagram,Influencer Marketing
689.29,4.76,75,0.455,generic,0.76,Instagram,Influencer Marketing
384.04,4.83,56,0.302,skincare,1.19,Instagram,Influencer Marketing
335.22,4.72,8,0.623,generic,0.0,Email,WhatsApp
720.28,4.94,31,0.465,generic,0.0,Email,WhatsApp
250.81,5.0,14,0.463,generic,1.97,Email,WhatsApp
747.6,4.68,60,0.556,skincare,1.13,Instagram,Influencer Marketing
424.31,4.99,1401,0.526,generic,0.53,Marketplace Ads,Instagram
185.82,4.8,855,0.382,generic,2.89,Marketplace Ads,Instagram
269.82,4.38,193,0.021,generic,0.0,Google Ads,Instagram
1.69,1.91,0,0.037,generic,4.69,Google Ads,Instagram
73.47,4.96,0,-0.08,books,2.26,Email,Google Ads
349.32,4.69,1100,0.262,haircare,2.03,Marketplace Ads,Instagram
380.38,4.91,1064,0.435,generic,3.39,Marketplace Ads,Instagram
1232.97,4.64,0,0.145,skincare,0.0,Google Ads,Instagram
886.24,3.89,11,0.076,generic,0.0,Google Ads,Instagram
521.18,4.79,1476,0.363,haircare,0.0,Marketplace Ads,Instagram
329.81,4.39,2398,0.654,generic,0.0,Marketplace Ads,Instagram
567.42,5.0,850,0.405,haircare,4.39,Marketplace Ads,Instagram
520.45,4.67,2997,0.357,generic,0.0,Marketplace Ads,Instagram
52.6,5.0,0,-0.068,books,0.0,Email,Google Ads
375.19,4.41,2152,0.585,generic,4.25,Marketplace Ads,Instagram
323.53,4.93,23,0.572,generic,0.27,Email,WhatsApp
324.27,4.69,2473,0.117,skincare,2.57,Instagram,Influencer Marketing
58.53,1.0,1,0.612,books,0.52,Email,WhatsApp
63.92,5.0,0,0.022,books,4.71,Email,Google Ads
683.7,5.0,47,0.56,generic,0.0,Email,WhatsApp
32.79,3.99,1,0.028,generic,3.68,Google Ads,Instagram
1265.17,4.82,810,0.429,skincare,0.0,Google Ads,Instagram
466.03,4.56,3783,0.449,generic,0.0,Marketplace Ads,Instagram
27.96,3.11,13,0.025,generic,2.47,Google Ads,Instagram
1177.4,4.89,9,0.096,haircare,0.0,Google Ads,Email
482.53,4.79,327,0.406,haircare,2.51,Instagram,Influencer Marketing
303.19,4.83,1169,0.194,skincare,3.0,Instagram,Influencer Marketing
48.04,0.99,13,0.683,books,1.25,Email,WhatsApp
40.62,0.94,2,0.599,books,0.85,Email,Instagram
208.91,4.73,999,0.35,generic,1.89,Marketplace Ads,Instagram
416.15,4.81,12,0.656,generic,0.0,Email,WhatsApp
554.63,4.79,488,0.248,haircare,0.87,Instagram,Influencer Marketing
388.95,4.71,1209,0.301,generic,0.0,Marketplace Ads,Instagram
465.96,4.69,368,0.115,generic,0.87,Google Ads,Instagram
24.17,3.02,10,-0.042,generic,3.76,Google Ads,Instagram
945.76,3.92,14,-0.192,haircare,0.0,Google Ads,Instagram
1115.39,3.38,7,0.299,skincare,0.0,Google Ads,Instagram
508.41,4.95,14,0.505,generic,0.0,Email,WhatsApp
324.52,4.89,2131,0.42,generic,0.0,Marketplace Ads,Instagram
1073.52,4.31,21,0.387,generic,0.0,Google Ads,Instagram
832.12,4.74,14,0.524,haircare,0.0,Google Ads,Instagram
261.18,4.75,948,-0.073,skincare,2.35,Instagram,Influencer Marketing
24.56,4.94,5,0.479,generic,0.0,Email,WhatsApp
365.63,4.68,33,0.016,generic,2.84,Google Ads,Instagram
447.01,4.52,2737,0.689,generic,0.0,Marketplace Ads,Instagram
494.89,4.68,938,0.327,haircare,1.85,Marketplace Ads,Instagram
791.74,4.89,0,0.006,generic,0.0,Google Ads,Email
49.95,0.97,0,0.651,books,0.0,Email,WhatsApp
544.8,4.83,1034,0.261,haircare,0.0,Marketplace Ads,Instagram
1581.83,4.11,69,0.146,skincare,0.0,Google Ads,Instagram
242.72,4.84,58,0.194,skincare,0.0,Instagram,Influencer Marketing
272.64,4.6,833,0.306,generic,1.6,Marketplace Ads,Instagram
1356.24,4.83,568,0.452,skincare,0.0,Google Ads,Instagram
272.62,4.5,1030,0.2,generic,1.48,Marketplace Ads,Instagram
712.06,5.0,718,0.401,skincare,4.95,Instagram,Influencer Marketing
38.31,1.01,0,0.07,books,3.78,Google Ads,Email
586.22,4.83,655,0.415,skincare,0.0,Instagram,Influencer Marketing
748.91,4.93,577,0.37,skincare,0.92,Instagram,Influencer Marketing
983.41,4.9,389,0.517,generic,0.0,Google Ads,Instagram
23.29,5.0,7,-0.054,books,0.0,Email,Google Ads
394.04,4.79,74,-0.057,skincare,0.0,Instagram,Influencer Marketing
1.0,4.91,14,0.443,generic,2.82,Email,WhatsApp
879.12,4.69,3,0.494,haircare,2.14,Google Ads,Instagram
392.79,4.88,1904,0.263,generic,4.23,Marketplace Ads,Instagram
484.06,4.8,236,0.354,skincare,0.0,Instagram,Influencer Marketing
369.8,4.48,2943,0.583,generic,0.0,Marketplace Ads,Instagram
359.04,4.81,35,0.48,generic,0.0,Email,WhatsApp
763.23,4.89,745,0.398,haircare,2.02,Marketplace Ads,Instagram
294.6,4.65,750,0.208,generic,4.55,Marketplace Ads,Instagram
777.82,4.84,553,0.474,skincare,0.0,Instagram,Influencer Marketing
525.55,4.71,276,0.535,haircare,4.25,Instagram,Influencer Marketing
449.38,4.62,2659,0.394,generic,1.93,Marketplace Ads,Instagram
362.29,4.96,1447,0.603,generic,4.64,Marketplace Ads,Instagram
32.51,0.94,0,0.351,generic,0.0,Instagram,Influencer Marketing
502.06,4.9,1007,0.392,haircare,1.65,Marketplace Ads,Instagram
813.56,4.71,21,0.391,haircare,0.0,Google Ads,Instagram
371.61,4.86,1441,0.536,generic,2.25,Marketplace Ads,Instagram
966.25,4.75,10,-0.048,skincare,0.64,Google Ads,Instagram
959.24,5.0,4,-0.039,generic,3.13,Google Ads,Email
38.07,5.0,0,-0.018,generic,0.0,Google Ads,Email
707.85,4.91,21,0.233,generic,1.86,Email,WhatsApp
46.27,5.0,2,0.073,books,2.39,Email,Google Ads
76.19,5.0,0,0.07,generic,4.92,Google Ads,Email
276.6,4.39,196,-0.03,generic,0.07,Google Ads,Instagram
608.79,4.97,975,0.42,skincare,0.0,Instagram,Influencer Marketing
18.83,4.9,0,-0.021,generic,0.0,Google Ads,Email
244.75,4.03,635,-0.06,generic,2.1,Marketplace Ads,Google Ads
564.83,4.91,27,0.485,generic,0.74,Email,WhatsApp
1068.02,4.99,18,0.195,haircare,0.0,Google Ads,Email
1243.81,4.48,39,0.475,generic,0.0,Google Ads,Instagram
436.34,4.64,4803,0.427,generic,0.0,Marketplace Ads,Instagram
51.46,0.9,0,0.581,books,0.0,Email,Instagram
360.93,4.85,1270,0.511,generic,0.0,Marketplace Ads,Instagram
301.51,4.74,2375,0.473,haircare,0.0,Marketplace Ads,Instagram
461.36,4.88,401,-0.047,skincare,0.0,Instagram,Influencer Marketing
404.9,4.74,2828,0.465,generic,1.48,Marketplace Ads,Instagram
357.76,4.77,64,0.356,skincare,1.4,Instagram,Influencer Marketing
34.8,0.89,6,0.686,books,0.19,Email,WhatsApp
270.09,4.12,768,-0.031,generic,0.0,Marketplace Ads,Google Ads
682.18,4.82,703,0.552,haircare,0.0,Marketplace Ads,Instagram
8.45,4.93,8,-0.019,books,2.52,Email,Google Ads
418.93,4.88,318,0.633,skincare,4.77,Instagram,Influencer Marketing
267.35,4.0,781,0.066,generic,0.0,Marketplace Ads,Google Ads
452.12,4.63,48,0.254,skincare,1.11,Instagram,Influencer Marketing
409.12,4.77,1412,0.283,haircare,0.0,Marketplace Ads,Instagram
619.26,4.68,633,0.848,generic,2.39,Instagram,Influencer Marketing
487.59,4.94,852,0.355,skincare,0.0,Instagram,Influencer Marketing
1024.52,4.96,501,0.405,generic,3.22,Google Ads,Marketplace Ads
695.55,4.84,401,0.629,skincare,0.0,Instagram,Influencer Marketing
416.5,4.17,163,0.091,skincare,0.0,Instagram,Influencer Marketing
631.71,4.85,32,0.537,generic,3.69,Email,WhatsApp
205.82,4.79,1468,0.255,haircare,1.34,Marketplace Ads,Instagram
38.91,0.99,0,0.698,books,0.0,Email,WhatsApp
668.94,4.98,731,0.5,haircare,0.0,Marketplace Ads,Instagram
382.71,4.76,2275,0.159,skincare,4.34,Instagram,Influencer Marketing
949.97,5.0,0,0.478,generic,0.62,Google Ads,Email
317.81,4.99,8,0.454,generic,0.0,Email,WhatsApp
736.69,4.98,28,0.563,generic,3.31,Email,WhatsApp
508.67,4.72,553,0.356,skincare,0.0,Instagram,Influencer Marketing
17.41,4.9,0,0.55,generic,0.0,Email,WhatsApp
46.59,4.98,13,0.02,books,1.63,Email,Google Ads
343.49,4.92,28,0.508,generic,0.0,Email,WhatsApp
758.27,4.75,722,0.379,haircare,0.0,Marketplace Ads,Instagram
1494.54,3.81,1,0.605,skincare,1.62,Google Ads,Instagram
672.27,5.0,12,0.226,skincare,0.0,Instagram,Influencer Marketing
527.13,4.83,1116,0.474,haircare,0.0,Marketplace Ads,Instagram
32.0,0.92,0,0.611,books,0.0,Email,WhatsApp
387.82,4.92,19,0.488,generic,1.6,Email,WhatsApp
27.12,4.95,0,0.047,books,0.0,Email,Google Ads
378.35,4.63,0,0.682,generic,1.09,Email,WhatsApp
20.98,4.89,5,0.521,generic,0.0,Email,WhatsApp
334.67,4.62,2523,-0.055,skincare,0.0,Instagram,Influencer Marketing
543.13,5.0,0,0.609,generic,0.7,Email,WhatsApp
660.71,4.76,2,-0.224,haircare,0.0,Google Ads,Instagram
377.74,4.84,1825,0.585,haircare,0.0,Marketplace Ads,Instagram
609.55,4.78,1031,0.398,haircare,1.45,Marketplace Ads,Instagram
21.89,4.9,14,0.446,generic,0.3,Email,WhatsApp
369.08,4.72,1199,0.376,generic,0.0,Marketplace Ads,Instagram
296.19,4.06,255,-0.086,generic,0.0,Google Ads,Instagram
5.28,5.0,0,0.582,generic,2.67,Email,WhatsApp
599.59,4.78,19,-0.017,skincare,3.91,Instagram,Influencer Marketing
56.04,4.99,0,-0.023,books,1.7,Email,Google Ads
391.66,4.86,1557,0.577,generic,2.1,Marketplace Ads,Instagram
702.87,4.83,506,0.365,haircare,0.42,Marketplace Ads,Instagram
63.86,4.9,6,0.541,generic,0.82,Email,WhatsApp
504.97,4.48,777,0.067,skincare,0.82,Instagram,Influencer Marketing
178.28,4.83,0,0.021,generic,1.28,Google Ads,Email
37.59,1.02,5,0.698,books,1.43,Email,WhatsApp
9.27,2.93,8,0.011,generic,2.73,Google Ads,Instagram
376.67,4.68,0,0.187,generic,0.0,Google Ads,Instagram
69.59,1.05,0,0.067,books,0.0,Google Ads,Email
625.97,4.07,116,0.312,generic,0.37,Instagram,Influencer Marketing
760.89,4.94,0,0.047,generic,0.0,Google Ads,Email
56.0,4.89,0,-0.063,books,0.07,Email,Google Ads
33.85,3.1,0,-0.016,generic,0.0,Google Ads,Instagram
383.99,4.44,444,0.005,skincare,0.0,Instagram,Influencer Marketing
337.09,4.75,63,0.07,skincare,2.01,Instagram,Influencer Marketing
213.89,4.78,678,0.387,generic,0.0,Marketplace Ads,Instagram
598.91,4.55,9,0.238,generic,0.0,Instagram,Influencer Marketing
510.68,4.98,10,0.487,generic,0.0,Email,WhatsApp
374.72,4.67,2520,0.1,skincare,2.83,Instagram,Influencer Marketing
7.25,5.0,0,-0.019,books,0.0,Email,Google Ads
971.18,4.99,321,0.185,generic,1.14,Google Ads,Instagram
16.64,4.98,0,0.065,books,0.84,Email,Google Ads
1.18,3.91,10,0.069,generic,0.0,Google Ads,Instagram
565.78,4.8,112,0.624,generic,0.0,Instagram,Influencer Marketing
574.11,4.66,1016,0.353,haircare,0.14,Marketplace Ads,Instagram
41.9,1.89,15,-0.004,generic,0.0,Google Ads,Instagram
981.19,4.91,679,0.438,generic,1.52,Google Ads,Marketplace Ads
289.86,4.77,71,0.291,generic,0.0,Instagram,Influencer Marketing
31.93,2.06,7,-0.031,generic,0.0,Google Ads,Instagram
633.18,5.0,12,0.572,generic,0.0,Email,WhatsApp
665.98,4.81,532,0.514,haircare,3.63,Marketplace Ads,Instagram
536.37,4.82,12,-0.24,haircare,2.01,Google Ads,Email
21.42,3.91,13,0.047,generic,4.61,Google Ads,Instagram
24.6,4.99,13,-0.061,books,0.0,Email,Google Ads
24.06,0.88,0,-0.025,generic,3.4,Google Ads,Instagram
296.04,4.7,2447,0.474,haircare,0.0,Marketplace Ads,Instagram
342.06,4.79,2209,0.604,haircare,2.56,Marketplace Ads,Instagram
385.3,4.63,61,0.516,generic,0.0,Instagram,Influencer Marketing
1133.67,4.89,72,0.469,haircare,0.0,Google Ads,Instagram
688.2,4.2,126,0.049,generic,0.0,Google Ads,Instagram
69.23,5.0,0,0.599,generic,0.0,Email,WhatsApp
670.3,4.92,107,0.434,generic,4.49,Instagram,Influencer Marketing
420.61,4.79,2078,0.374,generic,0.0,Marketplace Ads,Instagram
50.29,4.92,6,0.567,generic,0.0,Email,WhatsApp
550.45,4.99,16,0.515,generic,0.0,Email,WhatsApp
428.82,4.89,385,0.333,generic,0.0,Instagram,Influencer Marketing
1204.58,4.73,0,0.519,haircare,0.0,Google Ads,Instagram
488.69,4.84,346,-0.035,skincare,0.0,Instagram,Influencer Marketing
651.95,5.0,32,0.229,generic,0.88,Email,WhatsApp
282.05,4.79,64,0.35,generic,0.0,Instagram,Influencer Marketing
505.39,4.91,822,0.42,skincare,0.0,Instagram,Influencer Marketing
34.72,3.97,0,-0.173,generic,4.03,Google Ads,Instagram
382.15,4.87,128,0.336,generic,4.88,Instagram,Influencer Marketing
347.59,4.29,1458,0.046,skincare,0.0,Instagram,Influencer Marketing
18.53,1.03,5,-0.069,generic,1.99,Google Ads,Instagram
34.81,0.93,0,-0.016,generic,3.77,Google Ads,Instagram
509.48,4.97,210,0.252,skincare,1.93,Instagram,Influencer Marketing
758.63,4.62,65,0.559,generic,0.0,Instagram,Influencer Marketing
779.78,5.0,35,0.233,generic,0.29,Email,WhatsApp
290.1,4.58,865,0.328,generic,4.67,Marketplace Ads,Instagram
44.59,2.92,13,0.076,generic,0.0,Google Ads,Instagram
778.23,4.95,43,0.449,generic,2.06,Email,WhatsApp
614.7,4.67,0,-0.13,haircare,0.0,Google Ads,Instagram
382.01,4.79,2011,0.485,skincare,0.6,Instagram,Influencer Marketing
343.35,4.73,742,0.431,generic,0.0,Marketplace Ads,Instagram
34.7,5.0,0,-0.007,books,0.0,Email,Google Ads
380.23,4.82,1042,0.309,generic,0.0,Marketplace Ads,Instagram
362.6,4.81,62,0.265,skincare,0.89,Instagram,Influencer Marketing
487.73,4.96,0,0.614,generic,0.0,Email,WhatsApp
37.65,5.0,14,-0.033,books,3.7,Email,Google Ads
201.48,3.09,1,0.08,haircare,4.36,Google Ads,Instagram
40.26,5.0,0,0.021,books,2.99,Email,Google Ads
491.61,4.62,704,0.058,skincare,0.0,Instagram,Influencer Marketing
358.86,4.81,37,0.542,generic,0.0,Email,WhatsApp
589.8,4.55,6934,0.275,skincare,0.0,Instagram,Influencer Marketing
642.73,4.63,1047,0.265,haircare,0.0,Marketplace Ads,Instagram
619.22,5.0,919,0.408,haircare,2.29,Marketplace Ads,Instagram
444.73,4.55,199,0.026,skincare,4.13,Instagram,Influencer Marketing
543.06,4.68,180,0.234,skincare,0.0,Instagram,Influencer Marketing
516.84,4.82,89,0.244,generic,0.0,Instagram,Influencer Marketing
353.25,4.87,0,0.653,generic,3.61,Email,WhatsApp
436.49,4.77,0,0.509,haircare,4.56,Instagram,Influencer Marketing
43.68,5.0,13,0.578,generic,2.19,Email,WhatsApp
606.04,4.74,19,0.694,generic,0.0,Email,WhatsApp
52.29,5.0,11,-0.073,books,0.0,Email,Google Ads
370.21,4.69,2313,0.546,haircare,0.75,Marketplace Ads,Instagram
623.32,4.8,574,0.572,haircare,0.0,Marketplace Ads,Instagram
520.5,4.88,218,-0.035,skincare,2.85,Instagram,Influencer Marketing
490.89,4.99,0,0.692,generic,0.0,Email,WhatsApp
241.93,4.98,10,0.023,skincare,3.28,Instagram,Influencer Marketing
697.66,4.86,14,0.178,skincare,0.0,Instagram,Influencer Marketing
510.52,5.0,9,0.446,generic,4.14,Email,WhatsApp
674.62,4.85,1481,0.294,haircare,0.0,Marketplace Ads,Instagram
335.83,4.79,1920,0.41,generic,2.18,Marketplace Ads,Instagram
30.78,2.1,12,0.031,generic,0.67,Google Ads,Instagram
572.84,4.74,1449,0.387,haircare,0.36,Marketplace Ads,Instagram
325.37,4.84,276,-0.083,skincare,0.0,Instagram,Influencer Marketing
356.58,5.0,0,0.392,generic,0.0,Email,WhatsApp
32.06,4.96,0,0.056,books,1.04,Email,Google Ads
971.01,4.89,0,0.478,generic,3.51,Google Ads,Email
13.29,1.92,0,0.046,generic,0.66,Google Ads,Instagram
570.04,4.85,814,0.339,skincare,3.97,Instagram,Influencer Marketing
697.95,4.98,589,0.451,skincare,2.1,Instagram,Influencer Marketing
903.71,4.83,278,0.271,generic,3.26,Google Ads,Instagram
360.48,4.75,336,0.705,skincare,3.35,Instagram,Influencer Marketing
947.36,4.86,598,0.752,generic,0.0,Instagram,Influencer Marketing
672.56,4.84,1274,0.276,haircare,0.0,Marketplace Ads,Instagram
524.93,4.82,937,0.463,haircare,0.0,Marketplace Ads,Instagram
359.02,4.67,41,-0.055,generic,2.73,Google Ads,Instagram
508.43,4.75,202,0.327,skincare,1.86,Instagram,Influencer Marketing
1.0,5.0,7,0.465,generic,0.0,Email,WhatsApp
46.28,1.11,10,-0.068,generic,3.18,Google Ads,Instagram
11.46,4.96,0,0.461,generic,0.0,Email,WhatsApp
65.33,1.99,15,-0.02,generic,2.02,Google Ads,Instagram
332.93,4.43,0,0.305,generic,0.0,Instagram,Influencer Marketing
430.36,4.72,3663,0.35,generic,0.37,Marketplace Ads,Instagram
195.53,4.91,1057,0.317,generic,0.0,Marketplace Ads,Instagram
376.7,4.72,2060,0.349,generic,0.0,Marketplace Ads,Instagram
527.52,4.71,241,0.088,generic,2.48,Google Ads,Instagram
782.38,4.91,577,0.437,haircare,3.18,Marketplace Ads,Instagram
1253.59,4.81,43,0.506,haircare,1.62,Google Ads,Email
52.87,5.0,5,0.046,generic,0.0,Google Ads,Email
485.79,5.0,16,0.691,generic,0.0,Email,WhatsApp
246.76,4.76,84,0.174,skincare,1.85,Instagram,Influencer Marketing
238.93,4.89,94,0.097,generic,4.52,Google Ads,Instagram
443.26,5.0,2,0.297,skincare,0.67,Instagram,Influencer Marketing
54.4,1.92,0,0.038,generic,3.83,Google Ads,Instagram
48.13,5.0,0,0.505,generic,0.0,Email,WhatsApp
183.14,4.81,1551,0.288,haircare,0.17,Marketplace Ads,Instagram
44.33,2.92,2,-0.033,generic,0.0,Google Ads,Instagram
768.09,5.0,33,0.487,generic,2.92,Email,WhatsApp
465.36,4.91,9,0.575,generic,0.0,Email,WhatsApp
412.97,4.42,1374,0.047,skincare,0.0,Instagram,Influencer Marketing
172.77,4.72,1149,0.306,generic,0.0,Marketplace Ads,Instagram
69.2,3.01,0,0.063,generic,0.37,Google Ads,Instagram
389.5,4.67,1,0.636,generic,1.16,Email,WhatsApp
470.93,4.78,164,0.336,skincare,0.76,Instagram,Influencer Marketing
769.16,5.0,38,0.251,generic,0.0,Email,WhatsApp
61.4,2.09,0,-0.029,generic,4.47,Google Ads,Instagram
538.98,4.62,47,-0.008,generic,0.0,Google Ads,Instagram
355.84,4.86,0,0.583,generic,0.0,Email,WhatsApp
295.43,4.75,1452,0.516,haircare,0.15,Marketplace Ads,Instagram
336.34,4.79,0,0.644,generic,1.49,Email,WhatsApp
18.47,4.99,3,0.036,books,4.09,Email,Google Ads
750.39,5.0,547,0.407,haircare,1.54,Marketplace Ads,Instagram
45.58,1.12,0,-0.058,books,0.0,Google Ads,Email
35.92,1.92,0,-0.044,generic,3.58,Google Ads,Instagram
495.53,4.94,8,0.482,generic,0.45,Email,WhatsApp
342.07,4.83,845,0.293,generic,0.0,Marketplace Ads,Instagram
407.57,4.76,1172,0.266,haircare,1.0,Marketplace Ads,Instagram
326.94,4.74,2043,0.372,generic,0.0,Marketplace Ads,Instagram
558.89,4.74,123,0.339,generic,4.32,Instagram,Influencer Marketing
28.5,1.94,0,-0.554,generic,0.63,Google Ads,Instagram
523.53,4.93,528,0.495,haircare,0.32,Marketplace Ads,Instagram
46.14,5.0,5,-0.005,books,1.2,Email,Google Ads
69.24,5.0,0,0.079,generic,0.0,Google Ads,Email
417.33,4.85,855,0.399,haircare,0.0,Marketplace Ads,Instagram
678.5,4.38,3141,0.664,skincare,3.44,Instagram,Influencer Marketing
799.23,4.86,99,0.385,skincare,4.24,Instagram,Influencer Marketing
49.54,3.89,13,-0.046,generic,2.98,Google Ads,Instagram
48.48,1.92,0,0.067,generic,4.74,Google Ads,Instagram
492.06,4.65,13,0.482,skincare,0.0,Instagram,Influencer Marketing
492.34,4.93,35,0.468,generic,0.0,Email,WhatsApp
396.72,4.63,1447,0.507,haircare,0.8,Marketplace Ads,Instagram
616.36,4.9,604,0.416,haircare,1.85,Marketplace Ads,Instagram
218.75,4.76,1138,0.347,generic,3.96,Marketplace Ads,Instagram
29.78,4.66,0,0.372,skincare,4.61,Instagram,Influencer Marketing
52.04,1.99,0,-0.044,generic,0.0,Google Ads,Instagram
40.96,3.92,0,-0.057,generic,0.0,Google Ads,Instagram
579.31,4.85,32,0.685,skincare,0.0,Instagram,Influencer Marketing
1183.72,4.98,0,0.492,generic,0.0,Google Ads,Email
69.25,2.91,0,0.005,generic,0.0,Google Ads,Instagram
491.79,4.72,1272,0.421,skincare,1.18,Instagram,Influencer Marketing
560.83,5.0,3,0.61,generic,3.34,Email,WhatsApp
1226.34,3.7,9,-0.063,haircare,4.17,Google Ads,Instagram
906.77,5.0,2,0.059,generic,0.0,Google Ads,Email
507.26,4.79,1037,0.425,skincare,2.71,Instagram,Influencer Marketing
11.13,1.11,0,0.054,generic,0.0,Google Ads,Instagram
65.31,4.97,0,0.642,generic,2.55,Email,WhatsApp
493.29,4.78,1331,0.332,haircare,0.0,Marketplace Ads,Instagram
310.75,4.86,1797,0.457,haircare,4.97,Marketplace Ads,Instagram
301.25,4.99,3,0.476,generic,0.0,Email,WhatsApp
69.1,5.0,0,0.561,generic,3.67,Email,WhatsApp
607.46,4.76,131,0.36,skincare,0.0,Instagram,Influencer Marketing
276.21,5.0,17,0.034,skincare,1.74,Instagram,Influencer Marketing
